Canción 1,Canción 2,Canción 3,Canción 4,Canción 5,Canción 6,Canción 7,Canción 8,Canción 9,Canción 10,Canción 11,Canción 12
Everybody (Backstreet's Back),L'Empordà,Drive By,Temerario,Baby,Get Lucky,Sarandonga,We Will Rock You,Jo Mai Mai,Per la borda,Mari Carmen,Hui la liem
We Are Young,Potra Salvaje - Hard Remix,Besos En Guerra,Tití Me Preguntó,Tenía Tanto Que Darte,We Will Rock You,La Morocha,Olívia,SOLUCIONS i NO PROBLEMES,Jean-Luc,Seguirem Ballant,Dancing Queen
Chica Ye Ye,We Are Young,Volvera,Temerario,Toxic,Drive By,Jo Mai Mai,Un Plan B,Call Me Maybe,Cuando zarpa el amor,Atrévete-Te-Te,Bohemian Rhapsody
Bailoteo,Girlband,Tot el que ens queda - Remix,Chiquilla,Ventiladors,Amparito Roca,La Morocha,Danza Kuduro,Take on Me,Mal De Amores,Barras Warras,Rumadai
BAILE INoLVIDABLE,Salta!!!,Atrévete-Te-Te,Músic de Carrer,La Morocha,Amparito Roca,Plou,PLAYA DEL INGLÉS,L'últim segon,SOLUCIONS i NO PROBLEMES,Seguirem Ballant,Colgando en tus manos
BAILE INoLVIDABLE,Tot el que ens queda - Remix,L'Empordà,Baby,Yo Quiero Bailar,Soldadito marinero,APT.,Pa amb Oli I Sal,PLAYA DEL INGLÉS,Call Me Maybe,SOLUCIONS i NO PROBLEMES,Clavado en Un Bar
Just Dance,No Sigue Modas,L'orquestra del Titànic,Waterloo,La Faràndula,Jo Mai Mai,Ventiladors,Wannabe,Payphone,Llença't,Esa Diva,Rumadai
La Despedida,Just Dance,Músic de Carrer,No Rompas Mi Corazón,La Faràndula,A la Sombra de la Sierra,Pa amb Oli I Sal,PLAYA DEL INGLÉS,Purpurina,Clavado en Un Bar,Esa Diva,Bohemian Rhapsody
We Are Young,Chica Ye Ye,L'Empordà,El ataque de las chicas cocodrilo,Drive By,Umbrella,A la Sombra de la Sierra,Danza Kuduro,L'últim segon,Barras Warras,Si te vas...,Dancing Queen
Baby,Caminando por la vida,No Rompas Mi Corazón,Rock & Roll,Moves Like Jagger,L'últim segon,Llença't,Purpurina,Tintin,MAMA HO SENTO,La Tabarra,Zapatillas
BAILE INoLVIDABLE,Bailoteo,Somebody That I Used To Know,Me Colé en una Fiesta,Girlband,Sense Tu,Get Lucky,APT.,PLAYA DEL INGLÉS,Atrévete-Te-Te,Si te vas...,Rumadai
We Are Young,Somebody That I Used To Know,No importa que llueva,El ataque de las chicas cocodrilo,Yo Quiero Bailar,Umbrella,DMs,Jo Mai Mai,Esbarzers - Remix,El Vals del Obrero,SOLUCIONS i NO PROBLEMES,POETA MODERNET
TAS LOKO,Cap. 2: Havia de Passar,No Sigue Modas,Me Colé en una Fiesta,Toxic,Rasputin,Lloverá y Yo Veré,Olívia,Nochentera,Hui la liem,MOLTA TRALLA,Un Plan B
No Sigue Modas,Besos En Guerra,Pedro,Princesas,Drive By,Get Lucky,Plou,Un Plan B,SOLUCIONS i NO PROBLEMES,La Despedida,La meva sort,La Tabarra
Bailoteo,Girlband,Baby,DMs,We Will Rock You,Jo Mai Mai,Ventiladors,Rock & Roll,Esbarzers - Remix,Nochentera,Call Me Maybe,Purpurina
La Mujer del Pelotero,Me Colé en una Fiesta,Yo Quiero Bailar,Get Lucky,Sarandonga,Benvolgut,Lloverá y Yo Veré,Moves Like Jagger,Take on Me,Llença't,Mal De Amores,Hui la liem
Everybody (Backstreet's Back),Bailoteo,Besos En Guerra,Never Gonna Give You Up,L'orquestra del Titànic,La Mujer del Pelotero,Somebody That I Used To Know,Tenía Tanto Que Darte,Per la borda,Hui la liem,Barras Warras,La meva sort
BAILE INoLVIDABLE,In The Night,Cap. 2: Havia de Passar,La Camisa Negra,Podría Ser Peor,We Will Rock You,El Mambo,Plou,L'últim segon,La meva sort,Esa Diva,Rumadai
Salta!!!,Everybody (Backstreet's Back),L'orquestra del Titànic,No importa que llueva,Soldadito marinero,We Will Rock You,Nochentera,Call Me Maybe,Atrévete-Te-Te,Tintin,Zapatillas,La Tabarra
TAS LOKO,Toxic,We Will Rock You,Chiquilla,The Final Countdown,Moves Like Jagger,Pa amb Oli I Sal,El Vals del Obrero,Cuando zarpa el amor,Mal De Amores,Jean-Luc,Zapatillas
TAS LOKO,Chica Ye Ye,SOLUCIONS i NO PROBLEMES,Tenía Tanto Que Darte,Umbrella,Rasputin,ACTITUD,Llença't,It's My Life,Party In The U.S.A.,Esa Diva,Un Plan B
Músic de Carrer,Me Colé en una Fiesta,20 de abril,APT.,Rock & Roll,La Morocha,Plou,Moves Like Jagger,Mari Carmen,Cuando zarpa el amor,Party In The U.S.A.,Un Plan B
In The Night,La Camisa Negra,Temerario,El ataque de las chicas cocodrilo,Soldadito marinero,Get Lucky,Plou,Lloverá y Yo Veré,Olívia,Mal De Amores,Jean-Luc,Bohemian Rhapsody
Never Gonna Give You Up,Drive By,APT.,Ni Una Sola Palabra,La Morocha,El Mambo,Plou,PLAYA DEL INGLÉS,Hui la liem,Tintin,MAMA HO SENTO,La Tabarra
Potra Salvaje - Hard Remix,La Mujer del Pelotero,La Camisa Negra,Tot el que ens queda - Remix,Temerario,Jo Mai Mai,El Mambo,Moves Like Jagger,Payphone,Barras Warras,Esa Diva,Zapatillas
TAS LOKO,Torno en Mi,Besos En Guerra,Girlband,20 de abril,Never Gonna Give You Up,Temerario,We Will Rock You,Colgando en tus manos,Wannabe,It's My Life,Tití Me Preguntó
Torno en Mi,Bailoteo,20 de abril,El ataque de las chicas cocodrilo,Drive By,La Faràndula,Eva Maria,Rasputin,The Final Countdown,PLAYA DEL INGLÉS,Jean-Luc,Colgando en tus manos
Tití Me Preguntó,L'Empordà,Waterloo,Soldadito marinero,American Idiot,Benvolgut,Ni Una Sola Palabra,Clavado en Un Bar,El Mambo,Jo Mai Mai,MOLTA TRALLA,Dancing Queen
La Despedida,Podría Ser Peor,Princesas,El Mambo,Esbarzers - Remix,ACTITUD,Tintin,It's My Life,Jean-Luc,Esa Diva,La Tabarra,Cuando zarpa el amor
Cap. 2: Havia de Passar,Never Gonna Give You Up,Waterloo,Jean-Luc,Get Lucky,Sarandonga,Ventiladors,Rock & Roll,A la Sombra de la Sierra,ACTITUD,PLAYA DEL INGLÉS,MOLTA TRALLA
Salta!!!,Everybody (Backstreet's Back),L'orquestra del Titànic,L'Empordà,DMs,Eva Maria,The Final Countdown,Moves Like Jagger,Hui la liem,SOLUCIONS i NO PROBLEMES,Jean-Luc,Esa Diva
BAILE INoLVIDABLE,No Sigue Modas,Never Gonna Give You Up,20 de abril,Single Ladies (Put a Ring on It),Eva Maria,A la Sombra de la Sierra,The Final Countdown,Danza Kuduro,Lovumba,Barras Warras,MAMA HO SENTO
Besos En Guerra,Volvera,Pedro,L'Empordà,Podría Ser Peor,Colgando en tus manos,A la Sombra de la Sierra,I'm Yours,Mal De Amores,Clavado en Un Bar,Bohemian Rhapsody,Tití Me Preguntó
Pedro,Temerario,DMs,Umbrella,Get Lucky,Espresso Macchiato,Moves Like Jagger,Mari Carmen,Wannabe,Barras Warras,Si te vas...,MAMA HO SENTO
We Are Young,Tot el que ens queda - Remix,No importa que llueva,L'Empordà,Tenía Tanto Que Darte,Benvolgut,La Faràndula,Ventiladors,Lloverá y Yo Veré,Danza Kuduro,Purpurina,Zapatillas
Potra Salvaje - Hard Remix,La Camisa Negra,Somebody That I Used To Know,La Mujer del Pelotero,L'Empordà,Princesas,Yo Quiero Bailar,Drive By,No Rompas Mi Corazón,I'm Yours,MOLTA TRALLA,Colgando en tus manos
Besos En Guerra,Tenía Tanto Que Darte,Colgando en tus manos,Espresso Macchiato,I'm Yours,Wannabe,Mari Carmen,Cuando zarpa el amor,SOLUCIONS i NO PROBLEMES,Zapatillas,Un Plan B,Caminando por la vida
